Q 1 11 25 44 55 66 77
0.6935 5.4126 5.8034 6.4666 7.1651 7.4499 7.7956 4.8680
0.7035 5.4057 5.8070 6.4882 7.1856 7.4642 7.8064 4.8778
0.7136 5.3995 5.8116 6.5107 7.2072 7.4797 7.8183 4.8885
0.7236 5.3943 5.8172 6.5343 7.2299 7.4964 7.8314 4.9003
0.7337 5.3900 5.8241 6.5590 7.2538 7.5142 7.8457 4.9133
0.7437 5.3868 5.8321 6.5849 7.2789 7.5334 7.8614 4.9275
0.7538 5.3848 5.8415 6.6120 7.3052 7.5539 7.8785 4.9430
0.7638 5.3841 5.8522 6.6403 7.3329 7.5759 7.8971 4.9599
0.7739 5.3848 5.8645 6.6699 7.3619 7.5993 7.9172 4.9782
0.7839 5.3871 5.8784 6.7009 7.3923 7.6244 7.9390 4.9981
0.7940 5.3910 5.8940 6.7334 7.4243 7.6511 7.9626 5.0196
0.8040 5.3968 5.9115 6.7674 7.4579 7.6795 7.9880 5.0428
0.8141 5.4044 5.9309 6.8029 7.4931 7.7097 8.0153 5.0679
0.8241 5.4142 5.9524 6.8401 7.5300 7.7419 8.0447 5.0950
0.8342 5.4262 5.9760 6.8791 7.5687 7.7761 8.0761 5.1241
0.8442 5.4406 6.0021 6.9199 7.6093 7.8124 8.1098 5.1554
0.8543 5.4575 6.0305 6.9627 7.6519 7.8509 8.1459 5.1891
0.8643 5.4771 6.0616 7.0074 7.6966 7.8917 8.1844 5.2252
0.8744 5.4997 6.0954 7.0543 7.7435 7.9348 8.2254 5.2640
0.8844 5.5253 6.1322 7.1034 7.7926 7.9806 8.2691 5.3055
0.8945 5.5542 6.1720 7.1549 7.8441 8.0289 8.3155 5.3500
0.9045 5.5865 6.2150 7.2089 7.8981 8.0800 8.3649 5.3976
0.9146 5.6225 6.2614 7.2654 7.9547 8.1339 8.4173 5.4484
0.9246 5.6623 6.3115 7.3247 8.0140 8.1908 8.4728 5.5028
0.9347 5.7062 6.3652 7.3868 8.0762 8.2509 8.5316 5.5607
0.9447 5.7545 6.4229 7.4519 8.1413 8.3141 8.5938 5.6225
0.9548 5.8072 6.4848 7.5202 8.2096 8.3808 8.6596 5.6883
0.9648 5.8647 6.5509 7.5918 8.2811 8.4509 8.7290 5.7585
0.9749 5.9272 6.6216 7.6668 8.3560 8.5247 8.8023 5.8331
0.9849 5.9949 6.6971 7.7455 8.4344 8.6023 8.8795 5.9124
0.9950 6.0681 6.7775 7.8279 8.5165 8.6839 8.9608 5.9966
1.0050 6.1471 6.8631 7.9143 8.6025 8.7696 9.0465 6.0861
