I_abs(s)[cm^-1]/c[mg/ml]
  0.127843E+01  0.123578E-03
  0.128627E+01  0.125868E-03
  0.129412E+01  0.127922E-03
  0.130196E+01  0.129651E-03
  0.130980E+01  0.130990E-03
  0.131765E+01  0.131919E-03
  0.132549E+01  0.132457E-03
  0.133333E+01  0.132660E-03
  0.134118E+01  0.132605E-03
  0.134902E+01  0.132376E-03
  0.135686E+01  0.132053E-03
  0.136471E+01  0.131615E-03
  0.137255E+01  0.131035E-03
  0.138039E+01  0.130329E-03
  0.138824E+01  0.129499E-03
  0.139608E+01  0.128533E-03
  0.140392E+01  0.127422E-03
  0.141176E+01  0.126160E-03
  0.141961E+01  0.124756E-03
  0.142745E+01  0.123234E-03
  0.143529E+01  0.121628E-03
  0.144314E+01  0.119987E-03
  0.145098E+01  0.118350E-03
  0.145882E+01  0.116756E-03
  0.146667E+01  0.115234E-03
  0.147451E+01  0.113793E-03
  0.148235E+01  0.112440E-03
  0.149020E+01  0.111172E-03
  0.149804E+01  0.109980E-03
  0.150588E+01  0.108852E-03
  0.151373E+01  0.107773E-03
  0.152157E+01  0.106722E-03
  0.152941E+01  0.105679E-03
  0.153725E+01  0.104613E-03
  0.154510E+01  0.103490E-03
  0.155294E+01  0.102278E-03
  0.156078E+01  0.100950E-03
  0.156863E+01  0.994964E-04
  0.157647E+01  0.979195E-04
  0.158431E+01  0.962477E-04
  0.159216E+01  0.945249E-04
  0.160000E+01  0.928100E-04
  0.160784E+01  0.911676E-04
  0.161569E+01  0.896601E-04
  0.162353E+01  0.883338E-04
  0.163137E+01  0.872179E-04
  0.163922E+01  0.863186E-04
  0.164706E+01  0.856135E-04
  0.165490E+01  0.850618E-04
  0.166275E+01  0.846048E-04
  0.167059E+01  0.841772E-04
  0.167843E+01  0.837130E-04
  0.168627E+01  0.831574E-04
  0.169412E+01  0.824679E-04
  0.170196E+01  0.816222E-04
  0.170980E+01  0.806151E-04
  0.171765E+01  0.794584E-04
  0.172549E+01  0.781741E-04
  0.173333E+01  0.767946E-04
  0.174118E+01  0.753566E-04
  0.174902E+01  0.738918E-04
  0.175686E+01  0.724324E-04
  0.176471E+01  0.709982E-04
  0.177255E+01  0.696053E-04
  0.178039E+01  0.682580E-04
  0.178824E+01  0.669552E-04
  0.179608E+01  0.656909E-04
  0.180392E+01  0.644570E-04
  0.181176E+01  0.632504E-04
  0.181961E+01  0.620699E-04
  0.182745E+01  0.609227E-04
  0.183529E+01  0.598239E-04
  0.184314E+01  0.587900E-04
  0.185098E+01  0.578386E-04
  0.185882E+01  0.569828E-04
  0.186667E+01  0.562298E-04
  0.187451E+01  0.555743E-04
  0.188235E+01  0.549980E-04
  0.189020E+01  0.544750E-04
  0.189804E+01  0.539709E-04
  0.190588E+01  0.534470E-04
  0.191373E+01  0.528698E-04
  0.192157E+01  0.522121E-04
  0.192941E+01  0.514600E-04
  0.193725E+01  0.506103E-04
  0.194510E+01  0.496791E-04
  0.195294E+01  0.486918E-04
  0.196078E+01  0.476844E-04
  0.196863E+01  0.466952E-04
  0.197647E+01  0.457599E-04
  0.198431E+01  0.449063E-04
  0.199216E+01  0.441476E-04
  0.200000E+01  0.434841E-04
